#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50  33  2.5  3.5  1.57 13.79  8.65 247 1023.2   8.5  11.0 999.0 99.0 99.00
2016 01 01 00 50  17  2.2  2.9  1.66 13.79  9.31 263 1023.0   9.3  10.8 999.0 99.0 99.00
2016 01 01 01 50  32  2.0  2.7  1.58 14.81  8.82 262 1023.0  10.0  10.8 999.0 99.0 99.00
2016 01 01 02 50  34  3.8  4.6  1.80 12.90  8.91 253 1022.9  10.1  10.9 999.0 99.0 99.00
2016 01 01 03 50  72  7.7  9.3  1.81 13.79  8.36 238 1023.0   9.8  11.1 999.0 99.0 99.00
2016 01 01 04 50  79  6.4  7.5  1.66 17.39  7.00 264 1023.0   9.6  11.1 999.0 99.0 99.00
2016 01 01 05 50  82  8.0  9.8  1.77 13.79  6.85 225 1022.8   9.4  11.0 999.0 99.0 99.00
2016 01 01 06 50  80  5.0  6.6  1.77 17.39  6.97 265 1022.4   9.4  11.1 999.0 99.0 99.00
2016 01 01 07 50 115  9.7 11.6  1.76 13.79  6.58 244 1021.7  10.4  11.1 999.0 99.0 99.00
2016 01 01 08 50  95  7.8  9.9  2.06 17.39  6.48 238 1021.4  10.1  11.0 999.0 99.0 99.00
2016 01 01 09 50  47  4.5  6.3  1.96 16.00  7.01 248 1021.3   8.6  10.8 999.0 99.0 99.00
2016 01 01 10 50  55  4.9  6.4  2.05 16.00  8.20 264 1021.0   8.1  10.9 999.0 99.0 99.00
2016 01 01 11 50  90  4.2  5.6  2.38 16.00  9.51 263 1020.5   8.4  10.9 999.0 99.0 99.00
2016 01 01 12 50  82  4.7  6.2  2.50 14.81  9.07 253 1020.3   8.6  11.0 999.0 99.0 99.00
2016 01 01 13 50  67  5.6  7.0  2.62 16.00  8.97 252 1020.2   8.2  11.0 999.0 99.0 99.00
2016 01 01 14 50 140  7.3  8.9  2.56 14.81  8.73 254 1020.2   9.3  11.1 999.0 99.0 99.00
2016 01 01 15 50 132  6.8  8.5  2.42 13.79  8.13 252 1020.3   9.2  11.1 999.0 99.0 99.00
2016 01 01 16 50 128  6.0  7.7  2.48 16.00  8.89 259 1020.6   9.2  11.1 999.0 99.0 99.00
2016 01 01 17 50 131  5.6  7.5  2.53 13.79 10.01 247 1021.0   9.3  11.2 999.0 99.0 99.00
2016 01 01 18 50 133  5.6  6.9  2.20 16.00  8.60 258 1021.3   9.2  11.3 999.0 99.0 99.00
2016 01 01 19 50 154  4.3  5.8  2.09 14.81  8.52 249 1021.0   9.4  11.2 999.0 99.0 99.00
2016 01 01 20 50 165  5.0  6.1  2.23 16.00  9.01 257 1020.2   9.4  11.3 999.0 99.0 99.00
2016 01 01 21 50 180  4.2  5.2  2.48 14.81 10.38 267 1019.8   9.2  11.2 999.0 99.0 99.00
2016 01 01 22 50 174  2.6  3.6  2.08 14.81  9.49 259 1019.6   9.4  11.2 999.0 99.0 99.00
2016 01 01 23 50 189  2.1  3.1  1.91 14.81  9.11 267 1019.7   9.4  11.3 999.0 99.0 99.00
2016 01 02 00 50 203  3.3  4.1  2.56 14.81 10.38 280 1019.5   9.4  11.3 999.0 99.0 99.00
2016 01 02 01 50 190  2.9  3.7  2.14 14.81  9.87 281 1019.6   9.6  11.2 999.0 99.0 99.00
2016 01 02 02 50 156  3.4  4.8  2.12 14.81  9.67 270 1019.8   9.8  11.2 999.0 99.0 99.00
2016 01 02 03 50 131  4.1  5.6  2.61 13.79 10.79 263 1019.8   9.7  11.2 999.0 99.0 99.00
2016 01 02 04 50 135  5.2  6.6  1.92 13.79  9.30 257 1019.6   9.2  11.2 999.0 99.0 99.00
