filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_001_5028_7_V1.nc,2018,1,5028,7,2018-01-01,0
RCA_sb_sp_temperature_2018_001_5029_8_V1.nc,2018,1,5029,8,2018-01-01,1
RCA_sb_sp_temperature_2018_001_5030_9_V1.nc,2018,1,5030,9,2018-01-01,2
RCA_sb_sp_temperature_2018_002_5031_1_V1.nc,2018,2,5031,1,2018-01-02,3
RCA_sb_sp_temperature_2018_002_5032_2_V1.nc,2018,2,5032,2,2018-01-02,4
RCA_sb_sp_temperature_2018_002_5033_3_V1.nc,2018,2,5033,3,2018-01-02,5
RCA_sb_sp_temperature_2018_002_5034_4_V1.nc,2018,2,5034,4,2018-01-02,6
RCA_sb_sp_temperature_2018_002_5035_5_V1.nc,2018,2,5035,5,2018-01-02,7
RCA_sb_sp_temperature_2018_002_5036_6_V1.nc,2018,2,5036,6,2018-01-02,8
RCA_sb_sp_temperature_2018_002_5037_7_V1.nc,2018,2,5037,7,2018-01-02,9
RCA_sb_sp_temperature_2018_002_5038_8_V1.nc,2018,2,5038,8,2018-01-02,10
RCA_sb_sp_temperature_2018_002_5039_9_V1.nc,2018,2,5039,9,2018-01-02,11
RCA_sb_sp_temperature_2018_003_5040_1_V1.nc,2018,3,5040,1,2018-01-03,12
RCA_sb_sp_temperature_2018_003_5041_2_V1.nc,2018,3,5041,2,2018-01-03,13
RCA_sb_sp_temperature_2018_003_5042_3_V1.nc,2018,3,5042,3,2018-01-03,14
RCA_sb_sp_temperature_2018_003_5043_4_V1.nc,2018,3,5043,4,2018-01-03,15
RCA_sb_sp_temperature_2018_003_5044_5_V1.nc,2018,3,5044,5,2018-01-03,16
RCA_sb_sp_temperature_2018_003_5045_6_V1.nc,2018,3,5045,6,2018-01-03,17
RCA_sb_sp_temperature_2018_003_5046_7_V1.nc,2018,3,5046,7,2018-01-03,18
RCA_sb_sp_temperature_2018_003_5047_8_V1.nc,2018,3,5047,8,2018-01-03,19
RCA_sb_sp_temperature_2018_003_5048_9_V1.nc,2018,3,5048,9,2018-01-03,20
RCA_sb_sp_temperature_2018_004_5049_1_V1.nc,2018,4,5049,1,2018-01-04,21
RCA_sb_sp_temperature_2018_004_5050_2_V1.nc,2018,4,5050,2,2018-01-04,22
