year,doy,profile_idx,profile_num,date,index
2016,1,660,1,2016-01-01,0
2016,1,661,2,2016-01-01,1
2016,1,662,3,2016-01-01,2
2016,1,663,4,2016-01-01,3
2016,1,664,5,2016-01-01,4
2016,1,665,6,2016-01-01,5
2016,1,666,7,2016-01-01,6
2016,1,667,8,2016-01-01,7
2016,1,668,9,2016-01-01,8
2016,2,669,1,2016-01-02,9
2016,2,670,2,2016-01-02,10
2016,2,671,3,2016-01-02,11
2016,2,672,4,2016-01-02,12
2016,2,673,5,2016-01-02,13
2016,2,674,6,2016-01-02,14
2016,2,675,7,2016-01-02,15
2016,2,676,8,2016-01-02,16
2016,2,677,9,2016-01-02,17
2016,3,678,1,2016-01-03,18
2016,3,679,2,2016-01-03,19
2016,3,680,3,2016-01-03,20
2016,3,681,4,2016-01-03,21
2016,3,682,5,2016-01-03,22
2016,3,683,6,2016-01-03,23
2016,3,684,7,2016-01-03,24
2016,3,685,8,2016-01-03,25
2016,3,686,9,2016-01-03,26
2016,4,687,1,2016-01-04,27
2016,4,688,2,2016-01-04,28
2016,4,689,3,2016-01-04,29
2016,4,690,4,2016-01-04,30
2016,4,691,5,2016-01-04,31
2016,4,692,6,2016-01-04,32
2016,4,693,7,2016-01-04,33
2016,4,694,8,2016-01-04,34
2016,4,695,9,2016-01-04,35
2016,5,696,1,2016-01-05,36
2016,5,697,2,2016-01-05,37
2016,5,698,3,2016-01-05,38
2016,5,699,4,2016-01-05,39
2016,5,700,5,2016-01-05,40
2016,5,701,6,2016-01-05,41
2016,5,702,7,2016-01-05,42
2016,5,703,8,2016-01-05,43
2016,5,704,9,2016-01-05,44
2016,6,705,1,2016-01-06,45
2016,6,706,2,2016-01-06,46
2016,6,707,3,2016-01-06,47
2016,6,708,4,2016-01-06,48
2016,6,709,5,2016-01-06,49
2016,6,710,6,2016-01-06,50
2016,6,711,7,2016-01-06,51
2016,6,712,8,2016-01-06,52
2016,6,713,9,2016-01-06,53
2016,7,714,1,2016-01-07,54
2016,7,715,2,2016-01-07,55
2016,7,716,3,2016-01-07,56
2016,7,717,4,2016-01-07,57
2016,7,718,5,2016-01-07,58
2016,7,719,6,2016-01-07,59
2016,7,720,7,2016-01-07,60
2016,7,721,8,2016-01-07,61
2016,7,722,9,2016-01-07,62
2016,8,723,1,2016-01-08,63
2016,8,724,2,2016-01-08,64
2016,8,725,3,2016-01-08,65
2016,8,726,4,2016-01-08,66
2016,8,727,5,2016-01-08,67
2016,8,728,6,2016-01-08,68
2016,8,729,7,2016-01-08,69
2016,8,730,8,2016-01-08,70
2016,8,731,9,2016-01-08,71
2016,9,732,1,2016-01-09,72
2016,9,733,2,2016-01-09,73
2016,9,734,3,2016-01-09,74
2016,9,735,4,2016-01-09,75
2016,9,736,5,2016-01-09,76
2016,9,737,6,2016-01-09,77
2016,9,738,7,2016-01-09,78
2016,9,739,8,2016-01-09,79
2016,9,740,9,2016-01-09,80
2016,10,741,1,2016-01-10,81
2016,10,742,2,2016-01-10,82
2016,10,743,3,2016-01-10,83
2016,10,744,4,2016-01-10,84
2016,10,745,5,2016-01-10,85
2016,10,746,6,2016-01-10,86
2016,10,747,7,2016-01-10,87
2016,10,748,8,2016-01-10,88
2016,10,749,9,2016-01-10,89
2016,11,750,1,2016-01-11,90
2016,11,751,2,2016-01-11,91
2016,11,752,3,2016-01-11,92
2016,11,753,4,2016-01-11,93
