year,doy,profile_idx,profile_num,date,index
2018,1,5028,7,2018-01-01,0
2018,1,5029,8,2018-01-01,1
2018,1,5030,9,2018-01-01,2
2018,2,5031,1,2018-01-02,3
2018,2,5032,2,2018-01-02,4
2018,2,5033,3,2018-01-02,5
2018,2,5034,4,2018-01-02,6
2018,2,5035,5,2018-01-02,7
2018,2,5036,6,2018-01-02,8
2018,2,5037,7,2018-01-02,9
2018,2,5038,8,2018-01-02,10
2018,2,5039,9,2018-01-02,11
2018,3,5040,1,2018-01-03,12
2018,3,5041,2,2018-01-03,13
2018,3,5042,3,2018-01-03,14
2018,3,5043,4,2018-01-03,15
2018,3,5044,5,2018-01-03,16
2018,3,5045,6,2018-01-03,17
2018,3,5046,7,2018-01-03,18
2018,3,5047,8,2018-01-03,19
2018,3,5048,9,2018-01-03,20
2018,4,5049,1,2018-01-04,21
2018,4,5050,2,2018-01-04,22
2018,4,5051,3,2018-01-04,23
2018,4,5052,4,2018-01-04,24
2018,4,5053,5,2018-01-04,25
2018,4,5054,6,2018-01-04,26
2018,4,5055,7,2018-01-04,27
2018,4,5056,8,2018-01-04,28
2018,4,5057,9,2018-01-04,29
2018,5,5058,1,2018-01-05,30
2018,5,5059,2,2018-01-05,31
2018,5,5060,3,2018-01-05,32
2018,5,5061,4,2018-01-05,33
2018,5,5062,5,2018-01-05,34
2018,5,5063,6,2018-01-05,35
2018,6,5064,1,2018-01-06,36
2018,6,5065,2,2018-01-06,37
2018,6,5066,3,2018-01-06,38
2018,6,5067,4,2018-01-06,39
2018,6,5068,5,2018-01-06,40
2018,6,5069,6,2018-01-06,41
2018,6,5070,7,2018-01-06,42
2018,6,5071,8,2018-01-06,43
2018,6,5072,9,2018-01-06,44
2018,7,5073,1,2018-01-07,45
2018,7,5074,2,2018-01-07,46
2018,7,5075,3,2018-01-07,47
2018,7,5076,4,2018-01-07,48
2018,7,5077,5,2018-01-07,49
2018,7,5078,6,2018-01-07,50
2018,7,5079,7,2018-01-07,51
2018,7,5080,8,2018-01-07,52
2018,7,5081,9,2018-01-07,53
2018,8,5082,1,2018-01-08,54
2018,8,5083,2,2018-01-08,55
2018,8,5084,3,2018-01-08,56
2018,8,5085,4,2018-01-08,57
2018,8,5086,5,2018-01-08,58
2018,8,5087,6,2018-01-08,59
2018,8,5088,7,2018-01-08,60
2018,8,5089,8,2018-01-08,61
2018,8,5090,9,2018-01-08,62
2018,9,5091,1,2018-01-09,63
2018,9,5092,2,2018-01-09,64
2018,9,5093,3,2018-01-09,65
2018,9,5094,4,2018-01-09,66
2018,9,5095,5,2018-01-09,67
