year,doy,profile_idx,profile_num,date,index,cluster,month
2016,1,660,1,2016-01-01,0,0,1
2016,1,661,2,2016-01-01,1,0,1
2016,1,662,3,2016-01-01,2,0,1
2016,1,663,4,2016-01-01,3,0,1
2016,1,664,5,2016-01-01,4,0,1
2016,1,665,6,2016-01-01,5,0,1
2016,1,666,7,2016-01-01,6,0,1
2016,1,667,8,2016-01-01,7,0,1
2016,1,668,9,2016-01-01,8,0,1
2016,2,669,1,2016-01-02,9,0,1
2016,2,670,2,2016-01-02,10,0,1
2016,2,671,3,2016-01-02,11,0,1
2016,2,672,4,2016-01-02,12,0,1
2016,2,673,5,2016-01-02,13,0,1
2016,2,674,6,2016-01-02,14,0,1
2016,2,675,7,2016-01-02,15,0,1
2016,2,676,8,2016-01-02,16,0,1
2016,2,677,9,2016-01-02,17,0,1
2016,3,678,1,2016-01-03,18,0,1
2016,3,679,2,2016-01-03,19,0,1
2016,3,680,3,2016-01-03,20,0,1
2016,3,681,4,2016-01-03,21,0,1
2016,3,682,5,2016-01-03,22,0,1
2016,3,683,6,2016-01-03,23,0,1
2016,3,684,7,2016-01-03,24,0,1
2016,3,685,8,2016-01-03,25,0,1
2016,3,686,9,2016-01-03,26,0,1
2016,4,687,1,2016-01-04,27,0,1
2016,4,688,2,2016-01-04,28,0,1
2016,4,689,3,2016-01-04,29,0,1
2016,4,690,4,2016-01-04,30,0,1
2016,4,691,5,2016-01-04,31,0,1
2016,4,692,6,2016-01-04,32,0,1
2016,4,693,7,2016-01-04,33,0,1
2016,4,694,8,2016-01-04,34,0,1
2016,4,695,9,2016-01-04,35,0,1
2016,5,696,1,2016-01-05,36,0,1
2016,5,697,2,2016-01-05,37,0,1
2016,5,698,3,2016-01-05,38,0,1
2016,5,699,4,2016-01-05,39,0,1
2016,5,700,5,2016-01-05,40,0,1
2016,5,701,6,2016-01-05,41,0,1
2016,5,702,7,2016-01-05,42,0,1
2016,5,703,8,2016-01-05,43,0,1
2016,5,704,9,2016-01-05,44,0,1
2016,6,705,1,2016-01-06,45,0,1
2016,6,706,2,2016-01-06,46,0,1
2016,6,707,3,2016-01-06,47,0,1
2016,6,708,4,2016-01-06,48,0,1
2016,6,709,5,2016-01-06,49,0,1
2016,6,710,6,2016-01-06,50,0,1
2016,6,711,7,2016-01-06,51,0,1
2016,6,712,8,2016-01-06,52,0,1
2016,6,713,9,2016-01-06,53,0,1
2016,7,714,1,2016-01-07,54,0,1
2016,7,716,3,2016-01-07,56,0,1
2016,7,717,4,2016-01-07,57,0,1
2016,7,718,5,2016-01-07,58,0,1
2016,7,719,6,2016-01-07,59,0,1
2016,7,720,7,2016-01-07,60,0,1
2016,7,721,8,2016-01-07,61,0,1
2016,7,722,9,2016-01-07,62,0,1
2016,8,723,1,2016-01-08,63,0,1
2016,8,724,2,2016-01-08,64,0,1
2016,8,725,3,2016-01-08,65,0,1
2016,8,726,4,2016-01-08,66,0,1
2016,8,727,5,2016-01-08,67,0,1
2016,8,728,6,2016-01-08,68,0,1
2016,8,729,7,2016-01-08,69,0,1
2016,8,730,8,2016-01-08,70,0,1
2016,8,731,9,2016-01-08,71,0,1
2016,9,732,1,2016-01-09,72,0,1
2016,9,733,2,2016-01-09,73,0,1
2016,9,734,3,2016-01-09,74,0,1
2016,9,735,4,2016-01-09,75,0,1
2016,9,736,5,2016-01-09,76,0,1
2016,9,737,6,2016-01-09,77,0,1
2016,9,738,7,2016-01-09,78,0,1
