site,block_id,block_start,block_end,N,selection_tier,gpi,timestamp,daily_index,has_temperature,has_salinity,has_density,has_dissolvedoxygen,seed,block_width_days
ab,0,2014-12-03,2014-12-07,21,T_only,14,2014-12-04,13,1,1,0,0,0,5
ab,1,2014-12-08,2014-12-12,0,,,,,,,,,0,5
ab,2,2014-12-13,2014-12-17,7,T_only,23,2014-12-16,2,1,1,0,0,0,5
ab,3,2014-12-18,2014-12-22,19,T_only,35,2014-12-18,7,1,1,0,0,0,5
ab,4,2014-12-23,2014-12-27,0,,,,,,,,,0,5
ab,5,2014-12-28,2015-01-01,0,,,,,,,,,0,5
ab,6,2015-01-02,2015-01-06,0,,,,,,,,,0,5
ab,7,2015-01-07,2015-01-11,9,T_only,54,2015-01-09,1,1,1,0,0,0,5
ab,8,2015-01-12,2015-01-16,37,T_only,66,2015-01-13,6,1,1,0,0,0,5
ab,9,2015-01-17,2015-01-21,7,T_only,97,2015-01-17,4,1,1,0,0,0,5
ab,10,2015-01-22,2015-01-26,0,,,,,,,,,0,5
ab,11,2015-01-27,2015-01-31,0,,,,,,,,,0,5
ab,12,2015-02-01,2015-02-05,3,T_only,103,2015-02-05,3,1,1,0,0,0,5
ab,13,2015-02-06,2015-02-10,0,,,,,,,,,0,5
ab,14,2015-02-11,2015-02-15,0,,,,,,,,,0,5
ab,15,2015-02-16,2015-02-20,10,T_only,105,2015-02-19,1,1,1,0,0,0,5
ab,16,2015-02-21,2015-02-25,15,T_only,114,2015-02-23,1,1,1,0,0,0,5
ab,17,2015-02-26,2015-03-02,2,T_only,129,2015-02-26,1,1,1,0,0,0,5
ab,18,2015-03-03,2015-03-07,11,T_only,131,2015-03-04,1,1,1,0,0,0,5
ab,19,2015-03-08,2015-03-12,11,T_only,145,2015-03-10,2,1,1,0,0,0,5
ab,20,2015-03-13,2015-03-17,16,T_only,155,2015-03-13,3,1,1,0,0,0,5
ab,21,2015-03-18,2015-03-22,13,T_only,172,2015-03-19,1,1,1,0,0,0,5
