site,block_id,block_start,block_end,N,selection_tier,gpi,timestamp,daily_index,has_temperature,has_salinity,has_density,has_dissolvedoxygen,seed,block_width_days
oo,0,2015-08-03,2015-08-07,40,all4,18,2015-08-04,11,1,1,1,1,0,5
oo,1,2015-08-08,2015-08-12,16,all4,43,2015-08-08,2,1,1,1,1,0,5
oo,2,2015-08-13,2015-08-17,14,T_only,61,2015-08-14,1,1,1,1,0,0,5
oo,3,2015-08-18,2015-08-22,16,T_only,83,2015-08-21,2,1,1,1,0,0,5
oo,4,2015-08-23,2015-08-27,31,T_only,110,2015-08-27,9,1,1,1,0,0,5
oo,5,2015-08-28,2015-09-01,14,T_only,130,2015-09-01,1,1,1,1,0,0,5
oo,6,2015-09-02,2015-09-06,26,T_only,138,2015-09-02,6,1,1,1,0,0,5
oo,7,2015-09-07,2015-09-11,11,T_only,162,2015-09-08,2,1,1,1,0,0,5
oo,8,2015-09-12,2015-09-16,12,T_only,174,2015-09-13,2,1,1,1,0,0,5
oo,9,2015-09-17,2015-09-21,13,T_only,186,2015-09-18,2,1,1,1,0,0,5
oo,10,2015-09-22,2015-09-26,17,T_only,211,2015-09-26,3,1,1,1,0,0,5
oo,11,2015-09-27,2015-10-01,14,T_only,221,2015-09-30,4,1,1,1,0,0,5
oo,12,2015-10-02,2015-10-06,5,T_only,227,2015-10-02,2,1,1,1,0,0,5
oo,13,2015-10-07,2015-10-11,2,T_only,232,2015-10-09,2,1,1,1,0,0,5
oo,14,2015-10-12,2015-10-16,25,T_only,248,2015-10-16,7,1,1,1,0,0,5
oo,15,2015-10-17,2015-10-21,7,T_only,261,2015-10-20,2,1,1,1,0,0,5
oo,16,2015-10-22,2015-10-26,9,T_only,267,2015-10-23,1,1,1,1,0,0,5
oo,17,2015-10-27,2015-10-31,22,T_only,278,2015-10-27,5,1,1,1,0,0,5
oo,18,2015-11-01,2015-11-05,9,T_only,299,2015-11-03,2,1,1,1,0,0,5
oo,19,2015-11-06,2015-11-10,21,T_only,312,2015-11-06,8,1,1,1,0,0,5
oo,20,2015-11-11,2015-11-15,5,T_only,328,2015-11-11,3,1,1,1,0,0,5
oo,21,2015-11-16,2015-11-20,2,T_only,332,2015-11-18,1,1,1,1,0,0,5
oo,22,2015-11-21,2015-11-25,0,,,,,,,,,0,5
oo,23,2015-11-26,2015-11-30,1,T_only,333,2015-11-30,1,1,1,1,0,0,5
oo,24,2015-12-01,2015-12-05,45,T_only,340,2015-12-01,7,1,1,1,0,0,5
oo,25,2015-12-06,2015-12-10,46,T_only,411,2015-12-09,6,1,1,1,0,0,5
oo,26,2015-12-11,2015-12-15,45,T_only,454,2015-12-14,3,1,1,1,0,0,5
oo,27,2015-12-16,2015-12-20,44,T_only,478,2015-12-16,9,1,1,1,0,0,5
oo,28,2015-12-21,2015-12-25,45,T_only,544,2015-12-24,4,1,0,0,0,0,5
oo,29,2015-12-26,2015-12-30,45,T_only,567,2015-12-26,9,1,0,0,0,0,5
oo,30,2015-12-31,2016-01-04,45,T_only,634,2016-01-03,4,1,1,1,0,0,5
