site,block_id,block_start,block_end,N,selection_tier,gpi,timestamp,daily_index,has_temperature,has_salinity,has_density,has_dissolvedoxygen,seed,block_width_days
sb,0,2015-07-09,2015-07-13,2,all4,2,2015-07-10,1,1,1,1,1,0,5
sb,1,2015-07-14,2015-07-18,6,all4,8,2015-07-16,3,1,1,1,1,0,5
sb,2,2015-07-19,2015-07-23,3,all4,9,2015-07-23,1,1,1,1,1,0,5
sb,3,2015-07-24,2015-07-28,7,all4,17,2015-07-28,2,1,1,1,1,0,5
sb,4,2015-07-29,2015-08-02,10,all4,27,2015-07-31,1,1,1,1,1,0,5
sb,5,2015-08-03,2015-08-07,15,all4,37,2015-08-04,7,1,1,1,1,0,5
sb,6,2015-08-08,2015-08-12,0,,,,,,,,,0,5
sb,7,2015-08-13,2015-08-17,0,,,,,,,,,0,5
sb,8,2015-08-18,2015-08-22,5,all4,56,2015-08-21,2,1,1,1,1,0,5
sb,9,2015-08-23,2015-08-27,3,all4,61,2015-08-27,2,1,1,1,1,0,5
sb,10,2015-08-28,2015-09-01,1,all4,62,2015-09-01,1,1,1,1,1,0,5
sb,11,2015-09-02,2015-09-06,3,all4,64,2015-09-03,1,1,1,1,1,0,5
sb,12,2015-09-07,2015-09-11,0,,,,,,,,,0,5
sb,13,2015-09-12,2015-09-16,0,,,,,,,,,0,5
sb,14,2015-09-17,2015-09-21,0,,,,,,,,,0,5
sb,15,2015-09-22,2015-09-26,0,,,,,,,,,0,5
sb,16,2015-09-27,2015-10-01,1,all4,66,2015-09-30,1,1,1,1,1,0,5
sb,17,2015-10-02,2015-10-06,0,,,,,,,,,0,5
sb,18,2015-10-07,2015-10-11,22,all4,83,2015-10-10,6,1,1,1,1,0,5
sb,19,2015-10-12,2015-10-16,39,all4,111,2015-10-14,1,1,1,1,1,0,5
sb,20,2015-10-17,2015-10-21,32,all4,180,2015-10-21,8,1,1,1,1,0,5
sb,21,2015-10-22,2015-10-26,36,all4,208,2015-10-25,2,1,1,1,1,0,5
sb,22,2015-10-27,2015-10-31,9,all4,236,2015-10-28,3,1,1,1,1,0,5
sb,23,2015-11-01,2015-11-05,2,all4,238,2015-11-05,1,1,1,1,1,0,5
sb,24,2015-11-06,2015-11-10,24,all4,265,2015-11-09,5,1,1,1,1,0,5
sb,25,2015-11-11,2015-11-15,0,,,,,,,,,0,5
sb,26,2015-11-16,2015-11-20,30,all4,296,2015-11-20,5,1,1,1,1,0,5
sb,27,2015-11-21,2015-11-25,29,all4,305,2015-11-21,7,1,1,1,1,0,5
sb,28,2015-11-26,2015-11-30,35,all4,338,2015-11-26,1,1,1,1,1,0,5
sb,29,2015-12-01,2015-12-05,22,all4,384,2015-12-01,3,1,1,1,1,0,5
sb,30,2015-12-06,2015-12-10,32,all4,433,2015-12-06,7,1,1,1,1,0,5
sb,31,2015-12-11,2015-12-15,27,all4,497,2015-12-13,8,1,1,1,1,0,5
sb,32,2015-12-16,2015-12-20,39,all4,540,2015-12-18,7,1,1,1,1,0,5
sb,33,2015-12-21,2015-12-25,36,all4,566,2015-12-21,6,1,1,1,1,0,5
sb,34,2015-12-26,2015-12-30,41,T_only,650,2015-12-30,9,1,0,0,1,0,5
sb,35,2015-12-31,2016-01-04,31,all4,686,2016-01-03,9,1,1,1,1,0,5
sb,36,2016-01-05,2016-01-09,27,all4,728,2016-01-08,6,1,1,1,1,0,5
sb,37,2016-01-10,2016-01-14,40,all4,770,2016-01-13,3,1,1,1,1,0,5
sb,38,2016-01-15,2016-01-19,40,all4,816,2016-01-18,4,1,1,1,1,0,5
sb,39,2016-01-20,2016-01-24,40,all4,857,2016-01-22,9,1,1,1,1,0,5
sb,40,2016-01-25,2016-01-29,40,all4,906,2016-01-28,5,1,1,1,1,0,5
sb,41,2016-01-30,2016-02-03,22,all4,929,2016-01-31,3,1,1,1,1,0,5
sb,42,2016-02-04,2016-02-08,9,all4,958,2016-02-04,3,1,1,1,1,0,5
sb,43,2016-02-09,2016-02-13,36,all4,998,2016-02-11,8,1,1,1,1,0,5
sb,44,2016-02-14,2016-02-18,32,all4,1023,2016-02-14,6,1,1,1,1,0,5
sb,45,2016-02-19,2016-02-23,23,all4,1077,2016-02-20,6,1,1,1,1,0,5
sb,46,2016-02-24,2016-02-28,36,all4,1129,2016-02-26,4,1,1,1,1,0,5
sb,47,2016-02-29,2016-03-04,45,all4,1153,2016-02-29,1,1,1,1,1,0,5
sb,48,2016-03-05,2016-03-09,32,all4,1208,2016-03-06,2,1,1,1,1,0,5
sb,49,2016-03-10,2016-03-14,25,all4,1264,2016-03-13,2,1,1,1,1,0,5
sb,50,2016-03-15,2016-03-19,32,all4,1299,2016-03-17,1,1,1,1,1,0,5
sb,51,2016-03-20,2016-03-24,32,all4,1365,2016-03-24,4,1,1,1,1,0,5
sb,52,2016-03-25,2016-03-29,10,all4,1387,2016-03-29,9,1,1,1,1,0,5
sb,53,2016-03-30,2016-04-03,37,all4,1389,2016-03-30,2,1,1,1,1,0,5
sb,54,2016-04-04,2016-04-08,37,all4,1441,2016-04-04,9,1,1,1,1,0,5
sb,55,2016-04-09,2016-04-13,41,all4,1512,2016-04-12,8,1,1,1,1,0,5
sb,56,2016-04-14,2016-04-18,28,all4,1527,2016-04-14,5,1,1,1,1,0,5
sb,57,2016-04-19,2016-04-23,31,all4,1585,2016-04-20,9,1,1,1,1,0,5
sb,58,2016-04-24,2016-04-28,32,all4,1614,2016-04-26,7,1,1,1,1,0,5
sb,59,2016-04-29,2016-05-03,33,all4,1677,2016-05-03,7,1,1,1,1,0,5
sb,60,2016-05-04,2016-05-08,23,all4,1711,2016-05-07,5,1,1,1,1,0,5
sb,61,2016-05-09,2016-05-13,28,all4,1743,2016-05-11,1,1,1,1,1,0,5
sb,62,2016-05-14,2016-05-18,20,all4,1788,2016-05-16,1,1,1,1,1,0,5
sb,63,2016-05-19,2016-05-23,41,all4,1835,2016-05-21,3,1,1,1,1,0,5
sb,64,2016-05-24,2016-05-28,33,all4,1891,2016-05-27,5,1,1,1,1,0,5
sb,65,2016-05-29,2016-06-02,41,all4,1938,2016-06-01,7,1,1,1,1,0,5
sb,66,2016-06-03,2016-06-07,41,all4,1959,2016-06-04,1,1,1,1,1,0,5
sb,67,2016-06-08,2016-06-12,29,all4,2036,2016-06-12,6,1,1,1,1,0,5
sb,68,2016-06-13,2016-06-17,41,all4,2046,2016-06-13,7,1,1,1,1,0,5
sb,69,2016-06-18,2016-06-22,41,all4,2114,2016-06-21,3,1,1,1,1,0,5
sb,70,2016-06-23,2016-06-27,33,all4,2154,2016-06-25,7,1,1,1,1,0,5
sb,71,2016-06-28,2016-07-02,33,all4,2218,2016-07-02,8,1,1,1,1,0,5
sb,72,2016-07-03,2016-07-07,35,all4,2233,2016-07-04,5,1,1,1,1,0,5
sb,73,2016-07-08,2016-07-12,14,all4,2263,2016-07-08,5,1,1,1,1,0,5
sb,74,2016-07-13,2016-07-17,0,,,,,,,,,0,5
sb,75,2016-07-18,2016-07-22,3,all4,2273,2016-07-18,1,1,1,1,1,0,5
sb,76,2016-07-23,2016-07-27,12,all4,2276,2016-07-25,1,1,1,1,1,0,5
