profile,start,peak,end
7,2015-07-16 18:47:00,2015-07-16 18:49:00,2015-07-16 19:00:00
12,2015-07-27 17:39:00,2015-07-27 18:08:00,2015-07-27 20:53:00
16,2015-07-28 18:18:00,2015-07-28 18:49:00,2015-07-28 23:20:00
30,2015-08-03 18:08:00,2015-08-03 19:12:00,2015-08-03 20:55:00
51,2015-08-20 17:24:00,2015-08-20 18:23:00,2015-08-20 18:52:00
56,2015-08-21 18:28:00,2015-08-21 18:48:00,2015-08-21 19:44:00
58,2015-08-25 18:27:00,2015-08-25 19:28:00,2015-08-25 21:04:00
60,2015-08-27 18:58:00,2015-08-27 19:58:00,2015-08-27 21:33:00
63,2015-09-02 18:03:00,2015-09-02 19:02:00,2015-09-02 20:38:00
64,2015-09-03 17:41:00,2015-09-03 18:41:00,2015-09-03 20:17:00
75,2015-10-09 18:16:00,2015-10-09 19:09:00,2015-10-09 19:36:00
81,2015-10-10 18:02:00,2015-10-10 18:23:00,2015-10-10 19:31:00
90,2015-10-11 18:16:00,2015-10-11 19:09:00,2015-10-11 19:36:00
99,2015-10-12 18:16:00,2015-10-12 19:09:00,2015-10-12 19:36:00
108,2015-10-13 18:16:00,2015-10-13 19:09:00,2015-10-13 19:37:00
116,2015-10-14 18:16:00,2015-10-14 19:15:00,2015-10-14 19:46:00
125,2015-10-15 18:15:00,2015-10-15 19:14:00,2015-10-15 19:45:00
134,2015-10-16 18:15:00,2015-10-16 19:14:00,2015-10-16 19:45:00
143,2015-10-17 18:15:00,2015-10-17 19:14:00,2015-10-17 19:45:00
152,2015-10-18 18:15:00,2015-10-18 19:14:00,2015-10-18 19:45:00
161,2015-10-19 18:15:00,2015-10-19 19:14:00,2015-10-19 19:45:00
170,2015-10-20 18:15:00,2015-10-20 19:15:00,2015-10-20 19:45:00
179,2015-10-21 18:15:00,2015-10-21 19:14:00,2015-10-21 19:45:00
186,2015-10-22 18:16:00,2015-10-22 19:15:00,2015-10-22 19:45:00
195,2015-10-23 18:15:00,2015-10-23 19:14:00,2015-10-23 19:45:00
204,2015-10-24 18:15:00,2015-10-24 19:14:00,2015-10-24 19:45:00
213,2015-10-25 18:15:00,2015-10-25 19:14:00,2015-10-25 19:45:00
222,2015-10-26 18:15:00,2015-10-26 19:14:00,2015-10-26 19:45:00
231,2015-10-27 18:15:00,2015-10-27 19:14:00,2015-10-27 19:45:00
238,2015-11-05 18:59:00,2015-11-05 20:00:00,2015-11-05 21:36:00
246,2015-11-06 19:34:00,2015-11-06 20:33:00,2015-11-06 22:09:00
251,2015-11-07 20:07:00,2015-11-07 21:07:00,2015-11-07 22:43:00
259,2015-11-08 20:41:00,2015-11-08 21:40:00,2015-11-08 23:16:00
266,2015-11-09 18:10:00,2015-11-09 19:09:00,2015-11-09 20:45:00
274,2015-11-17 19:14:00,2015-11-17 20:14:00,2015-11-17 21:50:00
282,2015-11-18 20:13:00,2015-11-18 21:13:00,2015-11-18 22:48:00
297,2015-11-20 18:37:00,2015-11-20 19:37:00,2015-11-20 21:12:00
304,2015-11-21 19:36:00,2015-11-21 20:36:00,2015-11-21 22:11:00
311,2015-11-22 20:35:00,2015-11-22 21:35:00,2015-11-22 23:11:00
317,2015-11-23 18:00:00,2015-11-23 19:00:00,2015-11-23 19:32:00
326,2015-11-24 18:15:00,2015-11-24 19:15:00,2015-11-24 19:45:00
335,2015-11-25 18:15:00,2015-11-25 19:14:00,2015-11-25 19:45:00
344,2015-11-26 18:15:00,2015-11-26 19:14:00,2015-11-26 19:45:00
353,2015-11-27 18:15:00,2015-11-27 19:14:00,2015-11-27 19:45:00
362,2015-11-28 18:15:00,2015-11-28 19:14:00,2015-11-28 19:45:00
370,2015-11-29 18:15:00,2015-11-29 19:14:00,2015-11-29 19:45:00
379,2015-11-30 18:15:00,2015-11-30 19:15:00,2015-11-30 19:45:00
388,2015-12-01 18:15:00,2015-12-01 19:14:00,2015-12-01 19:45:00
397,2015-12-02 18:15:00,2015-12-02 19:14:00,2015-12-02 19:44:00
406,2015-12-03 18:15:00,2015-12-03 19:14:00,2015-12-03 19:44:00
415,2015-12-04 18:15:00,2015-12-04 19:14:00,2015-12-04 19:45:00
424,2015-12-05 18:15:00,2015-12-05 19:11:00,2015-12-05 19:40:00
433,2015-12-06 18:15:00,2015-12-06 19:14:00,2015-12-06 19:45:00
442,2015-12-07 18:15:00,2015-12-07 19:14:00,2015-12-07 19:45:00
451,2015-12-08 18:15:00,2015-12-08 19:14:00,2015-12-08 19:45:00
460,2015-12-09 18:15:00,2015-12-09 19:14:00,2015-12-09 19:45:00
469,2015-12-10 18:15:00,2015-12-10 19:14:00,2015-12-10 19:45:00
478,2015-12-11 18:15:00,2015-12-11 19:09:00,2015-12-11 19:38:00
487,2015-12-12 18:15:00,2015-12-12 19:14:00,2015-12-12 19:45:00
496,2015-12-13 18:15:00,2015-12-13 19:14:00,2015-12-13 19:44:00
505,2015-12-14 18:15:00,2015-12-14 19:14:00,2015-12-14 19:45:00
514,2015-12-15 18:15:00,2015-12-15 19:14:00,2015-12-15 19:45:00
523,2015-12-16 18:15:00,2015-12-16 19:14:00,2015-12-16 19:45:00
532,2015-12-17 18:15:00,2015-12-17 19:14:00,2015-12-17 19:45:00
540,2015-12-18 18:15:00,2015-12-18 19:17:00,2015-12-18 19:49:00
549,2015-12-19 18:15:00,2015-12-19 19:17:00,2015-12-19 19:49:00
558,2015-12-20 18:15:00,2015-12-20 19:17:00,2015-12-20 19:49:00
567,2015-12-21 18:15:00,2015-12-21 19:14:00,2015-12-21 19:44:00
576,2015-12-22 18:15:00,2015-12-22 19:17:00,2015-12-22 19:49:00
585,2015-12-23 18:15:00,2015-12-23 19:05:00,2015-12-23 19:30:00
594,2015-12-24 18:15:00,2015-12-24 19:17:00,2015-12-24 19:49:00
603,2015-12-25 18:15:00,2015-12-25 19:18:00,2015-12-25 19:50:00
612,2015-12-26 18:15:00,2015-12-26 19:18:00,2015-12-26 19:49:00
621,2015-12-27 18:15:00,2015-12-27 19:17:00,2015-12-27 19:49:00
630,2015-12-28 18:15:00,2015-12-28 19:17:00,2015-12-28 19:49:00
639,2015-12-29 18:15:00,2015-12-29 19:17:00,2015-12-29 19:49:00
648,2015-12-30 18:15:00,2015-12-30 19:17:00,2015-12-30 19:49:00
657,2015-12-31 18:15:00,2015-12-31 19:17:00,2015-12-31 19:49:00
666,2016-01-01 18:15:00,2016-01-01 19:18:00,2016-01-01 19:49:00
675,2016-01-02 18:15:00,2016-01-02 19:18:00,2016-01-02 19:49:00
684,2016-01-03 18:15:00,2016-01-03 19:17:00,2016-01-03 19:49:00
693,2016-01-04 18:15:00,2016-01-04 19:17:00,2016-01-04 19:49:00
702,2016-01-05 18:15:00,2016-01-05 19:17:00,2016-01-05 19:48:00
711,2016-01-06 18:15:00,2016-01-06 19:07:00,2016-01-06 19:33:00
720,2016-01-07 18:15:00,2016-01-07 19:15:00,2016-01-07 19:46:00
729,2016-01-08 18:15:00,2016-01-08 19:17:00,2016-01-08 19:49:00
738,2016-01-09 18:15:00,2016-01-09 19:17:00,2016-01-09 19:49:00
747,2016-01-10 18:15:00,2016-01-10 19:17:00,2016-01-10 19:49:00
756,2016-01-11 18:15:00,2016-01-11 19:17:00,2016-01-11 19:49:00
765,2016-01-12 18:15:00,2016-01-12 19:17:00,2016-01-12 19:49:00
774,2016-01-13 18:15:00,2016-01-13 19:17:00,2016-01-13 19:49:00
783,2016-01-14 18:15:00,2016-01-14 19:17:00,2016-01-14 19:49:00
792,2016-01-15 18:15:00,2016-01-15 19:17:00,2016-01-15 19:49:00
801,2016-01-16 18:15:00,2016-01-16 19:17:00,2016-01-16 19:49:00
810,2016-01-17 18:15:00,2016-01-17 19:17:00,2016-01-17 19:49:00
819,2016-01-18 18:15:00,2016-01-18 19:17:00,2016-01-18 19:49:00
828,2016-01-19 18:15:00,2016-01-19 19:17:00,2016-01-19 19:49:00
837,2016-01-20 18:15:00,2016-01-20 19:17:00,2016-01-20 19:49:00
846,2016-01-21 18:15:00,2016-01-21 19:15:00,2016-01-21 19:46:00
855,2016-01-22 18:15:00,2016-01-22 19:15:00,2016-01-22 19:45:00
864,2016-01-23 18:15:00,2016-01-23 19:17:00,2016-01-23 19:49:00
873,2016-01-24 18:15:00,2016-01-24 19:17:00,2016-01-24 19:49:00
882,2016-01-25 18:15:00,2016-01-25 19:17:00,2016-01-25 19:49:00
891,2016-01-26 18:15:00,2016-01-26 19:17:00,2016-01-26 19:49:00
899,2016-01-27 18:15:00,2016-01-27 19:17:00,2016-01-27 19:49:00
908,2016-01-28 18:15:00,2016-01-28 19:17:00,2016-01-28 19:49:00
917,2016-01-29 18:15:00,2016-01-29 19:12:00,2016-01-29 19:41:00
926,2016-01-30 18:15:00,2016-01-30 19:17:00,2016-01-30 19:49:00
927,2016-01-31 18:15:00,2016-01-31 19:17:00,2016-01-31 19:48:00
936,2016-02-01 18:15:00,2016-02-01 19:17:00,2016-02-01 19:49:00
945,2016-02-02 18:15:00,2016-02-02 19:17:00,2016-02-02 19:49:00
962,2016-02-04 18:15:00,2016-02-04 19:17:00,2016-02-04 19:49:00
971,2016-02-05 18:15:00,2016-02-05 19:17:00,2016-02-05 19:49:00
980,2016-02-09 20:25:00,2016-02-09 21:27:00,2016-02-09 21:59:00
988,2016-02-10 18:15:00,2016-02-10 19:17:00,2016-02-10 19:49:00
997,2016-02-11 18:15:00,2016-02-11 19:17:00,2016-02-11 19:49:00
