key,channel
1,oa01
2,oa02
3,oa03
4,oa04
5,oa05
6,oa06
7,oa07
8,oa08
9,oa09
10,oa10
11,oa11
12,oa12
13,oa13
14,oa14
15,oa15
16,oa16
17,oa17
18,oa18
19,oa19
20,oa20
21,oa21
22,oa22
23,oa23
24,oa24
25,oa25
26,oa26
27,oa27
28,oa28
29,oa29
30,oa30
31,oa31
32,oa32
33,oa33
34,oa34
35,oa35
36,oa36
37,oa37
38,oa38
39,oa39
40,oa40
41,oa41
42,oa42
43,oa43
44,oa44
45,oa45
46,oa46
47,oa47
48,oa48
49,oa49
50,oa50
51,oa51
52,oa52
53,oa53
54,oa54
55,oa55
56,oa56
57,oa57
58,oa58
59,oa59
60,oa60
61,oa61
62,oa62
63,oa63
64,oa64
65,oa65
66,oa66
67,oa67
68,oa68
69,oa69
70,oa70
71,oa71
72,oa72
73,oa73
